aut_poland1814 1814 1845
prus_poland1806 1806 1806
aut_croatia1648 1648 1805
ott_moldavia1517 1517 1811
ott_crimea1517 1517 1773
mosc_perm1478 1478 1489
ott_wallachia1421 1421 1427
ott_wallachia1428 1428 1452
ott_wallachia1453 1453 1460
ott_wallachia1517 1517 1877
ott_wallachia1461 1461 1516
mosc_vyatka1462 1462 1477
mosc_vyatka1478 1478 1489
gh_ryazan1441 1441 1501
yuan_mongol1279 1279 1367
gh_bulgaria1380 1380 1437
mong_novgorod1271 1271 1278
mong_novgorod1262 1262 1270
mong_novgorod1279 1279 1322
byz_serbia1105 1105 1138
byz_bulgaria1105 1105 1138
byz_bulgaria1139 1139 1189
