syria 1961
greece 1944
turkey 1922
cyprus 1974
n_cyprus 1983
lebanon 1945
israel 1948
palestine 1948
jordan 1946
iraq 1945
iran 1945
kuwait 1961
saudi_arabia 1932
bahrain 1971
qatar 1971
emirates 1971
oman 1971
yemen 1990
azerbaijan 1991
armenia 1991
georgia 1991
turk_kurds 1922
syr_kurds 1961
akkad2270m -2270 -2269
akkad2280m -2280 -2271
sumer2280m -2280 -2271
sumer3300m -3300 -2281
corduene -189 -90
armen_corduene89m -89 -69
turk_kurds
cyprus1306 1306 1488
malta_knights 1530 1797
fr_malta 1798 1799
br_malta 1800 1963
malta 1964
ott_kurds1723 1723 1734
abb_kurds944 944 945
byz_mani1432 1432 1452
byz_cilicia1139 1139 1144
fr_syria1940 1940 1940
br_kurds1941 1941 1944
seljuq_kurds1092 1092 1094
syr_kurds1940 1940 1940
